小森林 夏秋篇,导演: 森淳一 Junichi Mori,2014,日本,剧情,9.0,402444人评价
阳光灿烂的日子,导演: 姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.9,581338人评价
超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.7,951175人评价
完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,292792人评价
爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情,8.9,517264人评价
无人知晓,导演: 是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,296812人评价
消失的爱人,导演: 大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,874394人评价
甜蜜蜜,导演: 陈可辛 Peter Chan,1996,中国香港,剧情 爱情,8.9,499895人评价
借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.9,517611人评价
倩女幽魂,导演: 程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.8,690455人评价
小森林 冬春篇,导演: 森淳一 Junichi Mori,2015,日本,剧情,9.0,358562人评价
侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,434186人评价
时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis,2013,英国,喜剧 爱情 奇幻,8.8,613975人评价
幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.8,530841人评价
驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险,8.8,713271人评价
萤火之森,导演: 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.9,499312人评价
教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,9.0,346708人评价
寄生虫,导演: 奉俊昊 Joon-ho Bong,2019,韩国,剧情,8.8,1290973人评价
怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.8,626015人评价
一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.9,433756人评价
玛丽和马克思,导演: 亚当·艾略特 Adam Elliot,2009,澳大利亚 美国,剧情 喜剧 动画,8.9,405561人评价
玩具总动员3,导演: 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.9,481368人评价
未麻的部屋,导演: 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,9.1,301870人评价
傲慢与偏见,导演: 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.7,744191人评价
神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.6,898213人评价
大鱼,导演: 蒂姆·波顿 Tim Burton,2003,美国,剧情 家庭 奇幻 冒险,8.8,539433人评价
告白,导演: 中岛哲也 Tetsuya Nakashima,2010,日本,剧情 悬疑,8.8,641562人评价
釜山行,导演: 延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.6,1125206人评价
被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.8,572124人评价
哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险,8.7,601073人评价
阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang,2011,韩国,剧情 喜剧,8.8,567745人评价
射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau,1993,中国香港,喜剧 奇幻 武侠 古装,8.7,598183人评价
哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,中国大陆,冒险 动画 奇幻,9.1,241413人评价
新世界,导演: 朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.9,386232人评价
我是山姆,导演: 杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,9.0,317302人评价
恐怖直播,导演: 金秉祐 Byeong-woo Kim,2013,韩国,剧情 犯罪 悬疑,8.7,615181人评价
头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.7,1290436人评价
血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson,2016,澳大利亚 美国,剧情 传记 历史 战争,8.7,744686人评价
模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.8,606337人评价
喜宴,导演: 李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,332657人评价
七武士,导演: 黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.3,184278人评价
花样年华,导演: 王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.7,561745人评价
头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,美国,喜剧 动画 冒险,8.8,569994人评价
黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,美国,动作 科幻,8.8,422772人评价
九品芝麻官,导演: 王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,619848人评价
电锯惊魂,导演: 詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.8,497408人评价
三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh,2017,美国 英国,剧情 犯罪,8.7,777393人评价
你的名字。,导演: 新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.5,1307312人评价
达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.8,428283人评价
惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,265314人评价
卢旺达饭店,导演: 特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,308673人评价
